treatment,treatment_description,outcome,outcome_description,n_obs,did_estimate,did_se,did_pvalue,did_ci_lower,did_ci_upper,r_squared,f_statistic,f_pvalue,treatment_coef,post_coef,constant
treatment_peak,Peak vs Off-Peak Hours,avg_distance,Average Trip Distance (miles),23373.0,-0.06813238513073751,0.024841601845276944,0.006094138030726781,-0.11682103006576407,-0.01944374019571095,0.09732955726879011,1131.9301306912214,0.0,-0.5933590623076243,0.03154221603253914,3.7214047938136465
treatment_peak,Peak vs Off-Peak Hours,total_revenue,Total Revenue per Hour,23373.0,417.2237584777619,2006.4384157235024,0.8352738882443269,-3515.3232735379074,4349.770790493431,0.0951293391029765,889.0080739151919,0.0,44955.77255705035,-3400.290118224962,103981.36952968275
treatment_weekday,Weekday vs Weekend,avg_speed,Average Speed (mph),23373.0,-0.14960811098519894,0.10884187729787696,0.16927239963387886,-0.36293427049876553,0.06371804852836765,0.022499047999060884,196.4077345342398,8.3301503063693e-126,-1.0803033467137408,0.13290400743403163,13.886685232067478
treatment_weekday,Weekday vs Weekend,total_trips,Total Trips per Hour,23373.0,113.39753486912733,70.50006414257501,0.10773136046331426,-24.780051758083374,251.57512149633803,0.007340899800535761,70.29121347408933,3.0115835093626255e-45,395.98350653077864,-206.80108942049722,3848.1988358993644
treatment_weekday,Weekday vs Weekend,cbd_inside_ratio,CBD Inside Ratio,23373.0,-0.0027916163310856643,0.0016531600587740682,0.09128564149232897,-0.006031750506962957,0.0004485178447916284,0.03988374505636694,219.59431715488984,1.7072547168712097e-140,-0.017649669119410995,0.004097824930898814,0.2173145867612319
treatment_weekday,Weekday vs Weekend,cbd_in_ratio,CBD In Ratio,23373.0,-0.0014481732349184897,0.0012516050069042081,0.24725073771836215,-0.0039012739713207433,0.0010049275014837639,0.0019026953228752364,16.63004221125917,8.649661246130544e-11,-0.0030033616624366723,0.002765044921438678,0.11337166722391931
treatment_weekday,Weekday vs Weekend,cbd_out_ratio,CBD Out Ratio,23373.0,0.0003240162847824471,0.0009003175729792357,0.7189285703203488,-0.0014405737329053665,0.0020886063024702604,0.005492827769328024,54.99028611546584,2.0635943592641804e-35,0.0010876863314791283,-0.005643112300442335,0.09602866171195552
treatment_weekday,Weekday vs Weekend,cbd_neighbor_in_ratio,CBD Neighbor In Ratio,23373.0,0.0016492766034106447,0.0009447471188261226,0.08085728782150087,-0.0002023937239865384,0.003500946930807828,0.03252900745621645,305.282563747846,1.991952960293581e-194,0.011232147489942517,0.002078637979427922,0.06657036567723676
treatment_weekday,Weekday vs Weekend,cbd_neighbor_out_ratio,CBD Neighbor Out Ratio,23373.0,0.0010571886021149427,0.0005353837820417405,0.04830936194184249,7.85567140628926e-06,0.002106521532823596,0.043599281968479175,349.1199708361849,8.332790581464697e-222,0.007290747862992455,-0.0012579898326097998,0.041794571213933325
treatment_weekday,Weekday vs Weekend,avg_duration,Average Trip Duration (minutes),23373.0,0.16183775972493586,0.0654232850073704,0.013372090598482501,0.0336104773601906,0.2900650420896811,0.026075471074890055,257.7253811233479,1.4593374301723836e-164,0.7574941391806345,-0.2057407960843371,14.358295067689024
treatment_weekday,Weekday vs Weekend,avg_distance,Average Trip Distance (miles),23373.0,-0.010929453758067961,0.029807389153105115,0.7138657279368666,-0.06935086297132385,0.04749195545518793,0.0068128272576362114,56.56837893231432,1.9949222358042793e-36,-0.162677277224393,0.015135344325705555,3.63715098673903
treatment_weekday,Weekday vs Weekend,total_revenue,Total Revenue per Hour,23373.0,2656.4672607626635,1994.4687524744627,0.182887394354725,-1252.619662377815,6565.554183903142,0.01130166162589652,111.91972093799758,5.926356082670292e-72,14959.654727364745,-4981.7436649953015,108525.91390161496
